ticker,nome
JFEN3,João Fortes
HAGA3,Haga
ALUP4,Alupar
LUXM4,Trevisa
NGRD3,Neogrid
VSTE3,LE LIS BLANC
REAG3,REAG3
BPAC3,Banco BTG Pactual
LUPA3,Lupatech
BEES3,Banestes
HOOT4,Hotéis Othon
FHER3,Fertilizantes Heringer
OIBR4,Oi
EQPA3,Equatorial Energia Pará
RAPT3,Randon
SNSY5,Sansuy
BSLI4,Banco de Brasília
LOGN3,Log-In
BRSR3,Banrisul
BIED3,BIED3
BGIP4,Banese
BEES4,Banestes
UNIP3,Unipar
HAGA4,Haga
CLSC4,Celesc
RSUL4,Metalúrgica Riosulense
BIOM3,Biomm
EPAR3,Embpar Participações
BPAC5,Banco BTG Pactual
PTNT4,Pettenati
ENGI3,Energisa
CGRA4,Grazziotin
ENGI4,Energisa
BOBR4,Bombril
EALT3,Electro Aço Altona
INEP4,Inepar
PEAB4,Participações Aliança da Bahia
ISAE3,ISA Energia
ATED3,ATOM EDUCAÇÃO E EDITORA S.A.
TELB4,Telebras
VIVR3,Viver
EMAE4,EMAE
PINE3,Banco Pine
WHRL3,Whirlpool
TPIS3,Triunfo
RSID3,Rossi Residencial
NUTR3,Nutriplant
ALUP3,Alupar
CEEB3,COELBA
BSLI3,Banco de Brasília
AVLL3,Alphaville
BAZA3,Banco da Amazônia
TELB3,Telebras
PPLA11,PPLA
OFSA3,Ourofino Saúde Animal
MNDL3,Mundial
DEXP4,Dexxos
RDNI3,RNI
REDE3,Rede Energia
OSXB3,OSX Brasil
AZEV11,Azevedo & Travassos
CGRA3,Grazziotin
CEBR5,CEB
ALPA3,Alpargatas
CEDO4,Cedro Têxtil
CTSA4,Santanense
AMAR11,Lojas Marisa
EKTR4,Elektro
CEBR3,CEB
PINE11,Banco Pine
NEXP3,Brasil Brokers
UNIP5,Unipar
CTKA4,Karsten
MNPR3,Minupar
BMIN4,Banco Mercantil de Investimentos
BRKM6,Braskem
MGEL4,Mangels
DOHL4,Döhler
TKNO4,Tekno
BNBR3,Banco do Nordeste
PEAB3,Participações Aliança da Bahia
MRSA5B,MRS Logística
BALM4,Baumer
MWET4,Wetzel
AFLT3,Afluente T
CEED3,CEEE D
NORD3,Nordon
RPAD3,Alfa Holdings
BMKS3,Monark
WLMM4,WLM
EUCA3,Eucatex
CRPG5,Tronox Pigmentos
CTSA3,Santanense
GEPA4,Rio Paranapanema Energia
INEP3,Inepar
SNSY3,Sansuy
ESTR4,Estrela
LUPA11,LUPA11
CGAS5,Comgás
FESA3,Ferbasa
PTNT3,Pettenati
CGAS3,Comgás
CLSC3,Celesc
EQMA3B,Equatorial Maranhão
CCTY3,REDVECO PROPERTIES S.A
CCTY3,RDVC CITY
FIEI3,Fica
TKNO3,Tekno
PATI3,Panatlântica
GEPA3,Rio Paranapanema Energia
PATI4,Panatlântica
WLMM3,WLM
CBEE3,Ampla Energia
MAPT4,Cemepe
CRPG6,Tronox Pigmentos
BMEB3,Banco Mercantil do Brasil
GSHP3,General Shopping & Outlets
BAUH4,Excelsior
ENMT4,Energisa MT
MOAR3,Monteiro Aranha
ENMT3,Energisa MT
BDLL3,Bardella
PLAS3,Plascar
MSPA3,Melhoramentos
AHEB3,São Paulo Turismo
SOND6,Sondotécnica
CPLE5,Copel
COCE3,Coelce
FRIO3,Metalfrio
EQPA7,Equatorial Energia Pará
CRPG3,Tronox Pigmentos
BDLL4,Bardella
SOND5,Sondotécnica
CEDO3,Cedro Têxtil
DTCY3,Dtcom
BRSR5,Banrisul
IGTI4,Iguatemi
IGTI4,Jereissati Participações
PSVM11,PORTO VM
BGIP3,Banese
RPAD5,Alfa Holdings
MAPT3,Cemepe
EKTR3,Elektro
